Date,Open,High,Low,Close,chance_price,percent_change,Volume
2023-01-27,28464.19,28803.62,28124.75,28173.24,-50,0,5539200
2023-01-19,27979.28,28415.69,27979.28,28221.73,0,0,10303400
2023-01-18,28221.73,28270.22,28027.77,28221.73,100,0,10091290
2023-01-17,27542.86,28415.69,27494.37,28124.75,900,0.03,8423900
2023-01-16,27009.46,27251.91,26815.49,27251.91,300,0.01,15054600
2023-01-13,27057.95,27445.88,26960.97,26960.97,-50,0,2810200
2023-01-12,26815.49,27106.44,26767,27009.46,200,0.01,3527200
2023-01-11,26621.53,27154.93,26476.06,26815.49,200,0.01,3443800
2023-01-10,26912.47,27154.93,26476.06,26621.53,-300,-0.01,2696200
2023-01-09,26960.97,27106.44,26767,26912.47,50,0,7487700
2023-01-06,26621.53,27542.86,26476.06,26863.98,50,0,7860900
2023-01-05,26476.06,26960.97,26330.58,26815.49,350,0.01,7837800
2023-01-04,26621.53,26960.97,26427.57,26476.06,-150,-0.01,6592300
2023-01-03,24972.84,26621.53,24972.84,26621.53,1600,0.06,3786800
2022-12-30,25166.8,25312.27,25069.82,25069.82,-100,0,5502900
2022-12-29,25312.27,25506.24,24972.84,25166.8,-145,-0.01,3579700
2022-12-28,25312.27,25651.71,24972.84,25360.76,48,0,7574400
2022-12-27,24827.36,25506.24,24633.4,25506.24,679,0.03,5638200
2022-12-26,26427.57,26573.04,24924.35,24924.35,-1503,-0.06,7563600
2022-12-23,26863.98,27057.95,26136.62,26767,-97,0,3614700
2022-12-22,26912.47,27542.86,26427.57,26863.98,-48,0,7861900
2022-12-21,27203.42,27348.89,25506.24,26863.98,-339,-0.01,7533300
2022-12-20,28124.75,28367.2,26427.57,26863.98,-1261,-0.04,20707600
2022-12-19,28270.22,29724.95,28173.24,28367.2,97,0,10027200
2022-12-16,28124.75,28415.69,27736.82,28270.22,145,0.01,11957180
2022-12-15,27930.78,28658.15,27736.82,28609.66,679,0.02,7837800
2022-12-14,28609.66,28803.62,27930.78,27930.78,-679,-0.02,12774600
2022-12-13,26379.07,27930.78,26185.11,27930.78,1552,0.06,7677900
2022-12-12,27397.38,27688.33,26379.07,26379.07,-1018,-0.04,36553600
2022-12-09,27591.35,27639.84,26863.98,27397.38,-194,-0.01,5605400
2022-12-08,25991.15,27348.89,25700.2,27348.89,1358,0.05,14554300
2022-12-07,26185.11,26330.58,25166.8,25603.22,-582,-0.02,7114400
2022-12-06,27930.78,28124.75,26185.11,26233.6,-1697,-0.06,14950500
2022-12-05,28609.66,28900.6,27930.78,28124.75,-485,-0.02,8466100
2022-12-02,26185.11,28124.75,26039.64,27930.78,1746,0.07,19196200
2022-12-01,25457.75,26863.98,25457.75,26573.04,1115,0.04,18858500
2022-11-30,24439.44,25118.31,24196.98,25118.31,679,0.03,8860700
2022-11-29,24196.98,24827.36,23615.09,24439.44,242,0.01,8376400
2022-11-28,22596.78,23857.55,22548.29,23857.55,1261,0.06,11231600
2022-11-25,21675.45,22305.84,21529.98,22305.84,630,0.03,5771200
2022-11-24,21336.02,21529.98,20851.11,21481.49,145,0.01,7841500
2022-11-23,21336.02,21723.94,21045.07,21336.02,0,0,4018800
2022-11-22,21384.51,22354.33,21190.54,21190.54,-194,-0.01,9448800
2022-11-21,21966.4,22402.82,21578.47,21578.47,-388,-0.02,8879400
2022-11-18,22160.36,22645.27,21142.05,22014.89,-145,-0.01,7624800
2022-11-17,22014.89,22354.33,21529.98,22257.34,242,0.01,6746300
2022-11-16,18717.51,21433,18717.51,21433,2715,0.15,24110600
2022-11-15,21384.51,21384.51,20026.76,20075.25,-1309,-0.06,10943000
2022-11-14,21529.98,21723.94,20657.14,21529.98,0,0,6788500
2022-11-11,22790.74,23227.16,22111.87,22111.87,-679,-0.03,5479500
2022-11-10,23275.65,23372.64,21966.4,22063.38,-1212,-0.05,14039707
2022-11-09,23760.56,24342.45,23469.62,23615.09,-145,-0.01,4135200
2022-11-08,23033.2,24148.49,22305.84,23421.13,388,0.02,14488600
2022-11-07,24681.89,25021.33,23033.2,23033.2,-1649,-0.07,10925200
2022-11-04,24245.47,24730.38,23324.14,24730.38,485,0.02,17410200
2022-11-03,23906.04,25069.82,23906.04,25069.82,1164,0.05,8948000
2022-11-02,24924.35,25021.33,24293.96,24439.44,-485,-0.02,8602800
2022-11-01,24245.47,25215.29,24245.47,24875.86,630,0.03,10239400
2022-10-31,23857.55,24051.51,22790.74,23857.55,0,0,7284700
2022-10-28,22887.73,23663.58,22790.74,23663.58,776,0.03,13964730
2022-10-27,20851.11,22160.36,20851.11,22160.36,1309,0.06,9172800
2022-10-26,21045.07,21142.05,20414.69,20754.12,-291,-0.01,7540400
2022-10-25,20657.14,21772.43,19396.38,20657.14,0,0,14063400
2022-10-24,22354.33,22645.27,20657.14,20657.14,-1697,-0.08,38700600
2022-10-21,24100,24100,22208.85,22208.85,-1891,-0.08,10706600
2022-10-20,24342.45,24342.45,23809.05,23857.55,-485,-0.02,6360100
2022-10-19,24536.42,24730.38,23857.55,24439.44,-97,0,4840100
2022-10-18,24827.36,25118.31,24390.95,24536.42,-291,-0.01,5270100
2022-10-17,24730.38,24730.38,23615.09,24342.45,-388,-0.02,9968800
2022-10-14,25700.2,25700.2,24730.38,24924.35,-776,-0.03,6708400
2022-10-13,24051.51,24536.42,23372.64,24536.42,485,0.02,17519700
2022-10-12,23275.65,24633.4,22839.24,24051.51,776,0.03,12282400
2022-10-11,25021.33,25021.33,23275.65,23275.65,-1746,-0.07,30315200
2022-10-10,25021.33,26136.62,24584.91,25021.33,0,0,29109300
2022-10-07,28027.77,28027.77,26427.57,26427.57,-1600,-0.06,28218970
2022-10-06,29579.48,29870.42,28415.69,28415.69,-1164,-0.04,7653700
2022-10-05,30064.39,30112.88,29579.48,29579.48,-485,-0.02,7462100
2022-10-04,29870.42,30064.39,29094.57,29385.51,-485,-0.02,7952200
2022-10-03,31519.11,31616.1,29337.02,29337.02,-2182,-0.07,11035840
2022-09-30,32004.02,32197.99,31228.17,31519.11,-485,-0.02,6372200
2022-09-29,32682.9,32682.9,32004.02,32004.02,-679,-0.02,4120300
2022-09-28,32343.46,32682.9,32197.99,32246.48,-97,0,2069900
2022-09-27,32537.42,32876.86,32197.99,32488.93,-48,0,5051447
2022-09-26,32828.37,32828.37,31955.53,32246.48,-582,-0.02,8257000
2022-09-23,33410.26,33555.73,33022.33,33167.81,-242,-0.01,3701200
2022-09-22,33264.79,33604.23,33070.82,33507.24,242,0.01,3684800
2022-09-21,33943.66,34040.64,33458.75,33458.75,-485,-0.01,9197100
2022-09-20,34477.06,34477.06,33846.68,33992.15,-485,-0.01,2922000
2022-09-19,34913.48,34913.48,33798.19,33992.15,-921,-0.03,17056600
2022-09-16,35301.41,35543.86,34913.48,34913.48,-388,-0.01,2208200
2022-09-15,35883.3,35931.79,35495.37,35495.37,-388,-0.01,1611900
2022-09-14,35398.39,35883.3,35398.39,35689.34,291,0.01,4044400
2022-09-13,36271.23,36465.19,36174.25,36174.25,-97,0,25993753
2022-09-12,36513.68,36659.15,36319.72,36368.21,-145,0,2085901
2022-09-09,36562.17,36562.17,35883.3,36513.68,-48,0,3768100
2022-09-08,36610.66,36756.14,36222.74,36271.23,-339,-0.01,12310200
2022-09-07,37483.5,37531.99,36416.7,36416.7,-1067,-0.03,5925000
2022-09-06,37386.52,37822.94,37386.52,37483.5,97,0,5107700
2022-09-05,37677.46,37725.96,37386.52,37435.01,-242,-0.01,7244600
2022-08-31,37580.48,37968.41,37483.5,37774.45,194,0.01,2431900
2022-08-30,37628.97,37968.41,37580.48,37580.48,-48,0,10711900
2022-08-29,37628.97,37919.92,37338.03,37580.48,-48,0,4550600
2022-08-26,38404.83,38744.27,38307.85,38307.85,-97,0,4379000
2022-08-25,38113.88,38501.81,38113.88,38356.34,242,0.01,4802800
2022-08-24,37628.97,38550.3,37628.97,38065.39,436,0.01,5708200
2022-08-23,37483.5,37628.97,37192.56,37628.97,145,0,4139900
2022-08-22,37677.46,37919.92,37386.52,37531.99,-145,0,6812100
2022-08-19,37871.43,38016.9,37774.45,37822.94,-48,0,2771900
2022-08-18,37919.92,38307.85,37774.45,37919.92,0,0,7892200
2022-08-17,37871.43,38162.37,37822.94,38113.88,242,0.01,5354300
2022-08-16,37871.43,38016.9,37774.45,37822.94,-48,0,7619800
